Inventory_ID,Store_ID,Product_ID,Stock_Level,Last_Updated
1,4,1,107,2025-04-04 09:24:33
2,37,1,191,2025-05-05 11:33:14
3,40,1,74,2025-08-14 21:31:24
4,63,1,55,2025-02-19 04:14:37
5,36,1,46,2025-12-21 02:03:58
6,28,1,265,2025-07-10 02:34:42
7,33,2,312,2025-10-11 11:42:20
8,27,2,305,2025-04-24 06:02:30
9,44,2,39,2025-05-05 12:59:48
10,28,2,295,2025-07-30 04:17:18
11,58,2,256,2025-12-07 07:37:58
12,64,2,26,2025-12-04 16:31:41
13,26,3,272,2025-01-05 01:27:07
14,42,3,79,2025-03-17 23:54:27
15,18,3,214,2025-05-16 05:38:18
16,45,3,177,2025-11-12 18:02:05
17,60,3,339,2025-03-10 00:18:54
18,55,3,171,2025-06-19 10:47:43
19,21,4,247,2025-10-08 03:42:46
20,53,4,312,2025-03-14 02:20:19
21,37,4,,2025-08-29 09:17:53
22,34,4,311,2025-10-04 10:11:45
23,56,4,228,2025-06-06 14:04:31
24,57,4,2,2025-05-31 06:21:12
25,32,5,280,2025-05-10 17:16:25
26,60,5,92,2025-02-11 09:32:53
27,30,5,220,2025-02-10 16:40:32
28,7,5,93,2025-09-13 12:13:53
29,31,5,274,2025-01-25 09:52:56
30,47,5,176,2025-03-15 22:37:40
31,24,6,317,2025-09-15 18:52:36
32,28,6,332,2025-11-13 16:33:57
33,29,6,301,2025-10-05 19:06:18
34,56,6,236,2025-08-29 12:02:18
35,54,6,150,2025-05-23 11:59:33
36,63,6,262,2025-05-13 16:27:13
37,38,7,59,2025-11-09 04:57:31
38,62,7,297,2025-12-21 07:45:22
39,5,7,212,2025-01-02 11:57:10
40,16,7,308,2025-08-11 06:37:34
41,18,7,232,2025-06-20 02:19:48
42,1,7,297,2025-04-17 09:08:41
43,49,8,56,2025-03-20 10:09:02
44,58,8,270,2025-05-27 10:43:34
45,16,8,245,2025-11-06 08:49:32
46,34,8,216,2025-12-09 12:43:26
47,39,8,208,2025-03-02 02:32:42
48,2,8,184,2025-07-29 20:11:04
49,52,9,122,2025-02-01 16:56:32
50,9,9,14,2025-12-03 15:15:04
51,46,9,171,2025-11-11 09:11:12
